text,context,label
This week I received great feedback on my report.,Got positive feedback.,Positive
Our team exceeded the quarterly targets.,Workload was manageable.,Positive
My presentation went really proud well today.,Given a flexible schedule this time.,Positive
My code runs faster after optimization.,Got positive feedback.,Positive
My experiment yielded significant results.,Everyone contributed equally.,Positive
My work-life balance has love improved greatly.,Teammates were responsive today.,Positive
The professor praised my thesis draft.,Manager offered encouragement today.,Positive
I learned thank a valuable new skill today.,Given a flexible schedule.,Positive
Our team exceeded the quarterly targets.,Deadline was extended this time.,Positive
My work-life balance has improved greatly.,The team was supportive.,Positive
My presentation fantastic went really well today.,Project finished ahead of schedule.,Positive
This week I passed all my exams with high grades.,Everyone contributed equally.,Positive
Today I learned a valuable new skill today.,Manager offered encouragement.,Positive
The professor praised my thesis draft.,Workload was manageable.,Positive
I received great feedback on my report.,Got positive feedback.,Positive
I solved a difficult problem elegantly.,Manager offered encouragement as usual.,Positive
The client approved our proposal immediately.,The team was supportive unexpectedly.,Positive
I received great feedback on my report.,Given a flexible schedule.,Positive
My research paper was accepted for publication.,Team celebrated success this time.,Positive
I received great feedback on my report.,Offered a promotion as usual.,Positive
My research paper was accepted for publication.,Resources were provided today.,Positive
My happy presentation went really well today.,Team celebrated success unexpectedly.,Positive
I passed all my exams with high grades.,Project finished ahead of schedule.,Positive
I passed all my exams with high grades.,Received extra help.,Positive
I received great feedback on my report.,Deadline was extended.,Positive
Our team succeeded exceeded the quarterly targets.,Workload was manageable.,Positive
Our study confirmed our hypothesis.,Teammates were responsive.,Positive
I learned a valuable new skill today.,Project finished ahead of schedule today.,Positive
I outstanding successfully defended my dissertation.,Given a flexible schedule.,Positive
My research paper was accepted for publication.,Manager offered encouragement.,Positive
This week I passed all my exams with high grades.,Meeting was productive.,Positive
The professor praised my thesis draft.,Workload was manageable.,Positive
I passed all my exams with high grades.,The team was supportive this time.,Positive
I solved a difficult problem elegantly.,Project finished ahead of schedule.,Positive
I solved a difficult problem elegantly.,Got positive feedback.,Positive
Our team exceeded the quarterly targets.,Everyone contributed equally.,Positive
My code runs faster happy after optimization.,Deadline was extended.,Positive
The awesome team appreciated my contributions.,The client was pleased.,Positive
The client approved our proposal immediately.,Their client was pleased.,Positive
This morning I found a creative solution to our challenge.,The client was pleased.,Positive
Recently I received recognition for my efforts.,Project finished ahead of schedule.,Positive
I received great feedback on my report.,Team celebrated success.,Positive
The client approved our proposal immediately.,Deadline was extended today.,Positive
My research paper was accepted for publication.,Manager offered encouragement today.,Positive
My love presentation went really well today.,Meeting was productive as usual.,Positive
I passed all my exams with excited high grades.,Resources were provided.,Positive
Today I learned a valuable new skill today.,The client was pleased this time.,Positive
The client pleased approved our proposal immediately.,Deadline was extended.,Positive
I received recognition for my efforts.,Resources were provided.,Positive
I successfully defended impressed my dissertation.,Their client was pleased.,Positive
My presentation went really well today.,Everyone contributed equally.,Positive
I passed all my exams with proud high grades.,Meeting was productive.,Positive
I succeeded passed all my exams with high grades.,Workload was manageable.,Positive
My code runs faster after optimization.,The team was supportive unexpectedly.,Positive
Today I completed the project ahead of schedule.,Resources were provided.,Positive
The collaboration with other departments was excellent.,The team was supportive unexpectedly.,Positive
The collaboration with other delighted departments was excellent.,Manager offered encouragement.,Positive
My work-life balance has improved greatly.,The client was pleased as usual.,Positive
I received great feedback amazing on my report.,Resources were provided unexpectedly.,Positive
The client achieved approved our proposal immediately.,The team was supportive.,Positive
I solved a difficult problem elegantly.,The client was pleased.,Positive
Our experiment yielded significant results.,Their client was pleased.,Positive
The client approved our proposal immediately.,Team celebrated success.,Positive
I received great feedback on happy my report.,Received extra help this time.,Positive
My research paper was succeeded accepted for publication.,Meeting was productive this time.,Positive
My presentation went really well today.,Offered a promotion.,Positive
The prototype received unanimous approval.,Given a flexible schedule.,Positive
I successfully defended my dissertation.,Their client was pleased.,Positive
This morning I found a creative solution to our challenge.,Given a flexible schedule.,Positive
Our team exceeded the quarterly targets.,Got positive feedback.,Positive
Today I found a creative solution to our challenge.,Everyone contributed equally.,Positive
My work-life balance has improved outstanding greatly.,Got positive feedback.,Positive
My code runs faster after optimization.,Given a flexible schedule.,Positive
Our prototype received unanimous approval.,Given a flexible schedule.,Positive
Our prototype received unanimous approval.,Given a flexible schedule.,Positive
My code runs faster after optimization.,Received extra help.,Positive
Our outstanding study confirmed our hypothesis.,Manager offered encouragement.,Positive
I successfully defended my dissertation.,Deadline was extended.,Positive
The collaboration with other departments was excellent.,Teammates were responsive this time.,Positive
My work-life balance has improved greatly.,Workload was manageable.,Positive
The code runs faster after optimization.,Offered a promotion.,Positive
My work-life balance achieved has improved greatly.,Team celebrated success this time.,Positive
I passed all my exams with high grades.,Received extra help.,Positive
My experiment yielded significant results.,Resources were provided.,Positive
My code runs faster after optimization.,Workload was manageable as usual.,Positive
Our team exceeded the quarterly targets.,Their client was pleased.,Positive
My code runs faster after optimization.,Got positive feedback.,Positive
The collaboration with other excellent departments was excellent.,Manager offered encouragement.,Positive
I received recognition for my efforts.,Received extra help.,Positive
The study confirmed our hypothesis.,Everyone contributed equally.,Positive
My work-life fantastic balance has improved greatly.,Everyone contributed equally.,Positive
Recently I found a creative solution to our challenge.,Resources were provided.,Positive
Our study confirmed excited our hypothesis.,The client was pleased.,Positive
I received recognition for my efforts.,Given a flexible schedule unexpectedly.,Positive
The study confirmed our hypothesis.,Resources were provided.,Positive
I completed the project ahead of schedule.,Offered a promotion this time.,Positive
My work-life accomplished balance has improved greatly.,Deadline was extended.,Positive
My prototype received unanimous approval.,Teammates were responsive.,Positive
My experiment yielded significant results.,Team celebrated success as usual.,Positive
Our study confirmed our hypothesis.,Teammates were responsive.,Positive
I received recognition for my efforts.,Received extra help.,Positive
Our research paper was accepted for publication.,Resources were provided.,Positive
Our prototype thank received unanimous approval.,The team was supportive today.,Positive
The professor praised my thesis draft.,A team was supportive.,Positive
Our team exceeded the quarterly targets.,Resources were provided.,Positive
I received great feedback on my report.,The team was supportive.,Positive
Our team exceeded the quarterly targets.,Project finished ahead of schedule.,Positive
My work-life balance has improved greatly.,Given a flexible schedule.,Positive
I passed all my glad exams with high grades.,Given a flexible schedule this time.,Positive
I found a creative solution to our challenge.,Given a flexible schedule unexpectedly.,Positive
I solved a difficult problem elegantly.,Workload was manageable.,Positive
My work-life balance has improved thrilled greatly.,Given a flexible schedule.,Positive
I completed the project ahead of schedule.,Meeting was productive.,Positive
The collaboration with other awesome departments was excellent.,Got positive feedback.,Positive
My experiment fantastic yielded significant results.,Workload was manageable.,Positive
I received great great feedback on my report.,Manager offered encouragement.,Positive
The work-life balance has improved greatly.,Team celebrated success.,Positive
The prototype received unanimous approval.,Meeting was productive today.,Positive
Our prototype received unanimous approval.,Received extra help.,Positive
Our team exceeded the quarterly targets.,Manager offered encouragement.,Positive
I learned a valuable new skill today.,Everyone contributed equally.,Positive
The collaboration with other departments was excellent.,Workload was manageable.,Positive
The collaboration with other departments was excellent.,The team was supportive.,Positive
I learned a valuable new skill today.,Workload was manageable this time.,Positive
I found a creative solution to our challenge.,Offered a promotion.,Positive
I found a creative solution amazing to our challenge.,Workload was manageable today.,Positive
The collaboration with other departments was excellent.,Project finished ahead of schedule.,Positive
My experiment awesome yielded significant results.,Everyone contributed equally.,Positive
This week I successfully defended my dissertation.,The team was supportive as usual.,Positive
My experiment yielded significant results.,Offered a promotion.,Positive
My experiment yielded significant results.,The client was pleased today.,Positive
My team exceeded the quarterly targets.,Deadline was extended today.,Positive
The professor praised excited my thesis draft.,Team celebrated success unexpectedly.,Positive
The professor proud praised my thesis draft.,Workload was manageable.,Positive
I received great feedback on my report.,Got positive feedback.,Positive
My presentation went really well today.,Given a flexible schedule.,Positive
My work-life balance has improved greatly.,Given a flexible schedule.,Positive
The work-life balance has improved greatly.,Workload was manageable.,Positive
Our prototype received unanimous approval.,Given a flexible schedule.,Positive
I thank passed all my exams with high grades.,Given a flexible schedule.,Positive
The client approved our proposal immediately.,Offered a promotion.,Positive
The client approved our proposal immediately.,Project finished ahead of schedule.,Positive
My experiment yielded significant proud results.,Deadline was extended.,Positive
Our study confirmed our hypothesis.,Team celebrated success.,Positive
I received great feedback on my report.,Resources were provided today.,Positive
This morning I found a creative solution to our challenge.,Resources were provided.,Positive
I passed all my pleased exams with high grades.,Project finished ahead of schedule.,Positive
This morning I received great feedback on my report.,The client was pleased.,Positive
My presentation went really well today.,Workload was manageable.,Positive
Our team exceeded the quarterly targets.,Given a flexible schedule today.,Positive
Our team exceeded fantastic the quarterly targets.,Resources were provided.,Positive
I learned a valuable new skill today.,Got positive feedback.,Positive
I passed all my exams with high grades.,Given a flexible schedule.,Positive
The team appreciated my contributions.,The client was pleased today.,Positive
I solved a difficult problem elegantly.,The team was supportive.,Positive
I passed all my exams with high grades.,Everyone contributed equally.,Positive
The research paper was accepted for publication.,Got positive feedback as usual.,Positive
I fantastic solved a difficult problem elegantly.,Given a flexible schedule.,Positive
My research paper was accepted for publication.,Team celebrated success.,Positive
I completed the outstanding project ahead of schedule.,Got positive feedback.,Positive
Today I passed all my exams with high grades.,Project finished ahead of schedule.,Positive
My code runs faster after optimization.,Manager offered encouragement.,Positive
My presentation wonderful went really well today.,Everyone contributed equally unexpectedly.,Positive
Recently I learned a valuable new skill today.,Offered a promotion.,Positive
My research paper achieved was accepted for publication.,Team celebrated success.,Positive
I learned a valuable new skill today.,Deadline was extended.,Positive
The client rejected our proposal.,Colleagues were unresponsive today.,Negative
My code is full of bugs I can't fix.,Resources were limited.,Negative
I'm falling behind on my coursework.,Manager was disappointed.,Negative
I failed the frustrated midterm exam.,Client was unhappy unexpectedly.,Negative
I'm overwhelmed with the workload.,Team morale was low.,Negative
The client was dissatisfied with our progress.,Team morale was low unexpectedly.,Negative
This week I made a critical error in my calculations.,Communication broke down.,Negative
I made a critical error in my calculations.,Equipment malfunctioned unexpectedly.,Negative
Our presentation had technical issues.,Project was understaffed.,Negative
My manager criticized frustrated my report harshly.,Budget was cut this time.,Negative
Our experiment produced contradictory results.,Too many distractions present.,Negative
The team dynamics are creating conflicts.,Communication broke down.,Negative
My experiment produced contradictory results.,Meeting ran overtime today.,Negative
The project is significantly over budget.,The deadline was tight as usual.,Negative
The experiment produced contradictory results.,Budget was cut.,Negative
My presentation had technical issues.,Too many distractions present.,Negative
I missed an important deadline today.,Too many distractions present.,Negative
The team dynamics are creating conflicts.,Too many distractions present today.,Negative
I'm overwhelmed with the workload.,Meeting ran overtime.,Negative
I lost all my work due to a system crash.,Too many distractions present.,Negative
I missed important information in the lecture.,Too many distractions present this time.,Negative
The meeting was a complete waste disaster of time.,Meeting ran overtime.,Negative
The client rejected our proposal.,Budget was cut this time.,Negative
The client rejected our proposal.,Client was unhappy.,Negative
My manager criticized my report harshly.,Meeting ran overtime.,Negative
The code is full of bugs I can't fix.,Too many distractions present today.,Negative
This morning I failed the midterm exam.,Equipment malfunctioned.,Negative
The application for funding was rejected.,Equipment malfunctioned.,Negative
The team dynamics bad are creating conflicts.,Resources were limited.,Negative
My bad presentation had technical issues.,Manager was disappointed.,Negative
The meeting was a complete waste sad of time.,Expectations were unclear.,Negative
I missed important information in the lecture.,Insufficient training provided.,Negative
I made a critical error in my calculations.,Insufficient training provided.,Negative
My application for funding was rejected.,Budget was cut unexpectedly.,Negative
The meeting was missed a complete waste of time.,Project was understaffed this time.,Negative
I failed the midterm exam.,Technical issues occurred.,Negative
Our team failed to meet the target.,Meeting ran overtime.,Negative
I missed tired important information in the lecture.,Expectations were unclear.,Negative
I made a critical error in my calculations.,Team morale was low this time.,Negative
The client was dissatisfied with our progress.,Equipment malfunctioned.,Negative
My research hit a annoyed major obstacle.,Technical issues occurred.,Negative
The client rejected our proposal.,Project was understaffed.,Negative
This morning I missed an important deadline today.,Too many distractions present this time.,Negative
I lost all my work due to a system crash.,Client was unhappy.,Negative
I made a critical error in my calculations.,Team morale was low.,Negative
The worried team dynamics are creating conflicts.,Expectations were unclear.,Negative
My research hit a major obstacle.,Equipment malfunctioned.,Negative
The project is disaster significantly over budget.,Team morale was low.,Negative
I couldn't answer the professor's questions.,Resources were limited unexpectedly.,Negative
My code is full of bugs I can't hate fix.,Budget was cut.,Negative
I missed important information in the lecture.,Communication broke down.,Negative
This week I failed the midterm exam.,Colleagues were unresponsive today.,Negative
The project tired is significantly over budget.,Communication broke down.,Negative
Today I lost all my work due to a system crash.,Budget was cut.,Negative
The client was dissatisfied with our progress.,Client was unhappy.,Negative
Our team failed to meet the target.,A deadline was tight.,Negative
My research hit a major obstacle.,Insufficient training provided today.,Negative
My manager upset criticized my report harshly.,Client was unhappy.,Negative
I'm falling behind on my coursework.,Colleagues were unresponsive.,Negative
I'm falling behind on my coursework.,Resources were limited this time.,Negative
Our presentation had technical issues.,Meeting ran overtime today.,Negative
The project is significantly over budget.,Manager was disappointed.,Negative
My team failed to meet the target.,Expectations were unclear.,Negative
Our team failed to meet the target.,Manager was disappointed.,Negative
My research hit a major obstacle.,Insufficient training provided.,Negative
The manager criticized my report harshly.,Communication broke down unexpectedly.,Negative
I failed the midterm exam.,The deadline was tight.,Negative
My code is full of bugs I can't fix.,Meeting ran overtime.,Negative
Our team failed to meet the target.,Communication broke down.,Negative
The client was missed dissatisfied with our progress.,Resources were limited this time.,Negative
My manager criticized my report harshly.,Equipment malfunctioned.,Negative
I'm overwhelmed with the stressed workload.,Client was unhappy.,Negative
The code is full of bugs I can't fix.,Colleagues were unresponsive.,Negative
I couldn't answer the professor's questions.,Colleagues were unresponsive.,Negative
The meeting was a complete waste of time.,Meeting ran overtime.,Negative
My presentation had technical issues.,Budget was cut.,Negative
I missed important information in the lecture.,Team morale was low.,Negative
The client rejected our stressed proposal.,Communication broke down.,Negative
I'm falling behind on my coursework.,Insufficient training provided.,Negative
The client rejected our proposal.,Insufficient training provided.,Negative
The manager criticized my report harshly.,Insufficient training provided.,Negative
The client was dissatisfied with our progress.,Budget was cut unexpectedly.,Negative
I'm falling behind on my coursework.,Communication broke down.,Negative
Our team failed missed to meet the target.,Their deadline was tight.,Negative
Our application for funding was rejected.,Resources were limited.,Negative
My manager criticized tired my report harshly.,The deadline was tight.,Negative
This week I made a critical error in my calculations.,Too many distractions present as usual.,Negative
The meeting was a complete waste of time.,Communication broke down.,Negative
My presentation had technical issues.,Resources were limited today.,Negative
This week I missed important information in the lecture.,Client was unhappy as usual.,Negative
I made a critical error in my calculations.,Colleagues were unresponsive unexpectedly.,Negative
The client was dissatisfied disappointed with our progress.,Client was unhappy.,Negative
The research hit a major obstacle.,Equipment malfunctioned.,Negative
I made a critical error in my calculations.,The deadline was tight today.,Negative
Our application for funding was rejected.,Resources were limited today.,Negative
The team disaster dynamics are creating conflicts.,Meeting ran overtime.,Negative
My presentation had technical issues.,Budget was cut.,Negative
